#Clade                                                Targets  Neighbors  Split (%)  Parent  Dist(Parent)
342                                                   4        0          69.04      341     7.57e-06
345                                                   4        0          69.04      340     8.45e-06
349                                                   4        0          69.04      348     2.02e-05
357                                                   4        0          69.04      356     1.11e-05
362                                                   4        0          69.04      361     2.02e-06
376                                                   5        1          69.04      375     3.97e-05
378                                                   4        0          69.04      377     5.07e-05
385                                                   4        0          69.04      384     5.78e-06
390                                                   6        2          69.04      371     2.24e-05
398                                                   5        1          69.04      397     3.01e-05
399                                                   4        0          69.04      398     2.75e-05
407                                                   4        0          69.04      406     3.83e-05
412                                                   5        1          69.04      411     7.6e-06
417                                                   5        1          69.04      411     7.43e-06
433                                                   4        0          69.04      432     5.15e-06
441                                                   4        0          69.04      440     1.05e-05
445                                                   4        0          69.04      444     2.85e-05
308                                                   3        0          68.82      307     6.32e-06
317                                                   3        0          68.82      316     5.12e-05
321                                                   3        0          68.82      320     3.66e-05
328                                                   3        0          68.82      327     4.31e-06
332                                                   3        0          68.82      331     1.23e-05
350                                                   3        0          68.82      349     9.09e-06
358                                                   3        0          68.82      357     5.78e-07
363                                                   3        0          68.82      362     2.08e-06
365                                                   3        0          68.82      361     1.57e-06
373                                                   3        0          68.82      372     2.02e-05
377                                                   4        1          68.82      376     7.18e-05
379                                                   3        0          68.82      378     1.03e-05
386                                                   3        0          68.82      385     9.34e-06
388                                                   3        0          68.82      381     4.93e-06
395                                                   3        0          68.82      390     2.49e-05
400                                                   3        0          68.82      399     1.54e-05
415                                                   3        0          68.82      413     1.68e-06
418                                                   4        1          68.82      417     7.96e-06
420                                                   3        0          68.82      419     8.28e-06
424                                                   3        0          68.82      423     2.34e-06
427                                                   4        1          68.82      426     2.71e-05
434                                                   3        0          68.82      433     2.95e-06
442                                                   3        0          68.82      441     1.63e-06
446                                                   3        0          68.82      445     2.57e-05
301                                                   2        0          68.60      300     0.000103
303                                                   2        0          68.60      302     0.000253
309                                                   2        0          68.60      308     2.04e-06
310                                                   2        0          68.60      307     4.42e-06
318                                                   2        0          68.60      317     5.44e-06
319                                                   2        0          68.60      315     6.22e-06
322                                                   2        0          68.60      321     1.21e-05
324                                                   2        0          68.60      323     4.35e-05
329                                                   2        0          68.60      328     7.57e-05
333                                                   2        0          68.60      332     1.63e-05
334                                                   2        0          68.60      331     3.59e-06
339                                                   2        0          68.60      338     1.5e-05
343                                                   2        0          68.60      342     1.9e-05
344                                                   2        0          68.60      342     1.42e-05
346                                                   2        0          68.60      345     1.3e-05
347                                                   2        0          68.60      345     2.43e-06
351                                                   2        0          68.60      350     2.41e-06
355                                                   2        0          68.60      354     1.89e-05
359                                                   2        0          68.60      358     1.62e-06
364                                                   2        0          68.60      363     8.08e-07
366                                                   2        0          68.60      365     4.42e-06
374                                                   2        0          68.60      373     3.28e-05
380                                                   2        0          68.60      379     1.82e-05
387                                                   2        0          68.60      386     7.81e-07
389                                                   2        0          68.60      388     1.26e-05
394                                                   2        0          68.60      392     1.38e-05
396                                                   2        0          68.60      395     5.35e-05
401                                                   2        0          68.60      400     6.41e-05
408                                                   2        0          68.60      407     3.05e-05
409                                                   2        0          68.60      407     4.4e-06
414                                                   2        0          68.60      413     3.3e-05
416                                                   2        0          68.60      415     6.24e-06
419                                                   3        1          68.60      418     1.79e-05
421                                                   2        0          68.60      420     9.61e-06
422                                                   2        0          68.60      410     4.03e-06
425                                                   2        0          68.60      424     3e-05
428                                                   3        1          68.60      427     1.25e-05
430                                                   2        0          68.60      429     4.67e-06
435                                                   2        0          68.60      434     1.21e-05
443                                                   2        0          68.60      442     7.21e-07
447                                                   2        0          68.60      446     9.63e-07
448                                                   2        0          68.60      436     2.99e-06
367                                                   2        1          68.37      336     1.57e-05
391                                                   3        2          68.37      390     3.04e-05
429                                                   2        1          68.37      428     1.17e-05
tGCA_000008865.2_ASM886v2_genomic.fna                 1        0          68.37      421     8.87e-06
tGCA_000021125.1_ASM2112v1_genomic.fna                1        0          68.37      380     1.64e-05
tGCA_000022225.1_ASM2222v1_genomic.fna                1        0          68.37      380     1.22e-05
tGCA_000730345.1_ASM73034v1_genomic.fna               1        0          68.37      379     4.09e-05
tGCA_000732965.1_ASM73296v1_genomic.fna               1        0          68.37      414     4.71e-06
tGCA_000803705.1_ASM80370v1_genomic.fna               1        0          68.37      378     3.24e-05
tGCA_000978815.2_ASM97881v2_genomic.fna               1        0          68.37      311     0.000269
tGCA_000978845.2_ASM97884v2_genomic.fna               1        0          68.37      374     7.6e-05
tGCA_001307215.1_ASM130721v1_genomic.fna              1        0          68.37      422     0.000105
tGCA_001558995.2_ASM155899v2_genomic.fna              1        0          68.37      386     1.01e-05
tGCA_001651925.2_ASM165192v2_genomic.fna              1        0          68.37      317     1.08e-05
tGCA_001651945.2_ASM165194v2_genomic.fna              1        0          68.37      318     1.92e-06
tGCA_001651965.2_ASM165196v2_genomic.fna              1        0          68.37      318     2.64e-06
tGCA_001695515.1_ASM169551v1_genomic.fna              1        0          68.37      316     7.4e-05
tGCA_001753445.1_ASM175344v1_genomic.fna              1        0          68.37      310     9.3e-06
tGCA_001753465.1_ASM175346v1_genomic.fna              1        0          68.37      309     5.05e-07
tGCA_001753485.1_ASM175348v1_genomic.fna              1        0          68.37      440     1.61e-05
tGCA_001753505.1_ASM175350v1_genomic.fna              1        0          68.37      309     1.2e-06
tGCA_001753525.1_ASM175352v1_genomic.fna              1        0          68.37      308     6.23e-06
tGCA_001753545.1_ASM175354v1_genomic.fna              1        0          68.37      438     1.45e-05
tGCA_001753565.1_ASM175356v1_genomic.fna              1        0          68.37      310     1.26e-05
tGCA_001865295.1_ASM186529v1_genomic.fna              1        0          68.37      409     2.37e-05
tGCA_003722195.1_ASM372219v1_genomic.fna              1        0          68.37      291     0.00532
tGCA_003966795.1_ASM396679v1_genomic.fna              1        0          68.37      303     4.04e-05
tGCA_004118915.1_ASM411891v1_genomic.fna              1        0          68.37      319     7.57e-05
tGCA_005037735.2_ASM503773v2_genomic.fna              1        0          68.37      432     1.72e-05
tGCA_005885915.1_ASM588591v1_genomic.fna              1        0          68.37      433     8.59e-06
tGCA_005885955.1_ASM588595v1_genomic.fna              1        0          68.37      376     5.4e-05
tGCA_007922655.1_ASM792265v1_genomic.fna              1        0          68.37      408     1.07e-05
tGCA_009627495.1_ASM962749v1_genomic.fna              1        0          68.37      416     2.21e-05
tGCA_009650175.1_ASM965017v1_genomic.fna              1        0          68.37      421     4.14e-05
tGCA_009931235.1_ASM993123v1_genomic.fna              1        0          68.37      422     0.000107
tGCA_012915625.2_ASM1291562v2_genomic.fna             1        0          68.37      435     2.49e-05
tGCA_013167135.1_ASM1316713v1_genomic.fna             1        0          68.37      370     0.00011
tGCA_013167155.1_ASM1316715v1_genomic.fna             1        0          68.37      334     3.3e-05
tGCA_013167175.1_ASM1316717v1_genomic.fna             1        0          68.37      334     2.88e-05
tGCA_013167195.1_ASM1316719v1_genomic.fna             1        0          68.37      320     0.000117
tGCA_013167235.1_ASM1316723v1_genomic.fna             1        0          68.37      330     7.36e-05
tGCA_013167275.1_ASM1316727v1_genomic.fna             1        0          68.37      333     3.3e-05
tGCA_013167295.1_ASM1316729v1_genomic.fna             1        0          68.37      328     6.09e-05
tGCA_013167315.1_ASM1316731v1_genomic.fna             1        0          68.37      324     1.22e-05
tGCA_013167335.1_ASM1316733v1_genomic.fna             1        0          68.37      332     1.12e-05
tGCA_013167355.1_ASM1316735v1_genomic.fna             1        0          68.37      404     3.75e-05
tGCA_013167375.1_ASM1316737v1_genomic.fna             1        0          68.37      306     1.39e-05
tGCA_013167395.1_ASM1316739v1_genomic.fna             1        0          68.37      388     9.08e-05
tGCA_013167415.1_ASM1316741v1_genomic.fna             1        0          68.37      430     1.51e-06
tGCA_013167435.1_ASM1316743v1_genomic.fna             1        0          68.37      430     1.9e-06
tGCA_013167455.1_ASM1316745v1_genomic.fna             1        0          68.37      399     4.02e-05
tGCA_013167475.1_ASM1316747v1_genomic.fna             1        0          68.37      325     6.67e-05
tGCA_013167495.1_ASM1316749v1_genomic.fna             1        0          68.37      301     0.000299
tGCA_013167515.1_ASM1316751v1_genomic.fna             1        0          68.37      389     1.88e-05
tGCA_013167535.1_ASM1316753v1_genomic.fna             1        0          68.37      444     3.21e-05
tGCA_013167555.1_ASM1316755v1_genomic.fna             1        0          68.37      305     2.57e-05
tGCA_013167575.1_ASM1316757v1_genomic.fna             1        0          68.37      401     4.35e-06
tGCA_013167595.1_ASM1316759v1_genomic.fna             1        0          68.37      435     1.45e-05
tGCA_013167615.1_ASM1316761v1_genomic.fna             1        0          68.37      403     6.96e-05
tGCA_013167635.1_ASM1316763v1_genomic.fna             1        0          68.37      387     4.31e-06
tGCA_013167655.1_ASM1316765v1_genomic.fna             1        0          68.37      333     2.98e-05
tGCA_013167675.1_ASM1316767v1_genomic.fna             1        0          68.37      428     2.22e-05
tGCA_013167695.1_ASM1316769v1_genomic.fna             1        0          68.37      383     2.64e-05
tGCA_013167715.1_ASM1316771v1_genomic.fna             1        0          68.37      427     2.21e-05
tGCA_013167735.1_ASM1316773v1_genomic.fna             1        0          68.37      395     5.77e-05
tGCA_013167755.1_ASM1316775v1_genomic.fna             1        0          68.37      396     4.16e-05
tGCA_013167775.1_ASM1316777v1_genomic.fna             1        0          68.37      445     8.51e-05
tGCA_013167795.1_ASM1316779v1_genomic.fna             1        0          68.37      303     5.93e-05
tGCA_013167815.1_ASM1316781v1_genomic.fna             1        0          68.37      319     5.55e-05
tGCA_013167875.1_ASM1316787v1_genomic.fna             1        0          68.37      374     4.83e-05
tGCA_013168035.1_ASM1316803v1_genomic.fna             1        0          68.37      391     3.91e-05
tGCA_013168055.1_ASM1316805v1_genomic.fna             1        0          68.37      321     6.65e-05
tGCA_013168075.1_ASM1316807v1_genomic.fna             1        0          68.37      424     2.86e-05
tGCA_013168095.1_ASM1316809v1_genomic.fna             1        0          68.37      408     1.25e-05
tGCA_013168115.1_ASM1316811v1_genomic.fna             1        0          68.37      301     0.000337
tGCA_013168135.1_ASM1316813v1_genomic.fna             1        0          68.37      400     4.15e-05
tGCA_013168155.1_ASM1316815v1_genomic.fna             1        0          68.37      389     7.73e-05
tGCA_013168175.1_ASM1316817v1_genomic.fna             1        0          68.37      322     2.76e-05
tGCA_013168195.1_ASM1316819v1_genomic.fna             1        0          68.37      394     1.48e-05
tGCA_013168215.1_ASM1316821v1_genomic.fna             1        0          68.37      327     2.87e-05
tGCA_013168235.1_ASM1316823v1_genomic.fna             1        0          68.37      396     7.71e-05
tGCA_013168255.1_ASM1316825v1_genomic.fna             1        0          68.37      415     4.62e-05
tGCA_013343595.1_ASM1334359v1_genomic.fna             1        0          68.37      402     5.04e-05
tGCA_013343635.1_ASM1334363v1_genomic.fna             1        0          68.37      324     2.92e-05
tGCA_015353135.1_ASM1535313v1_genomic.fna             1        0          68.37      409     4.58e-05
tGCA_016458885.1_ASM1645888v1_genomic.fna             1        0          68.37      448     2.4e-05
tGCA_016458905.1_ASM1645890v1_genomic.fna             1        0          68.37      448     3.25e-05
tGCA_016458925.1_ASM1645892v1_genomic.fna             1        0          68.37      401     3.06e-05
tGCA_016458945.1_ASM1645894v1_genomic.fna             1        0          68.37      322     4.36e-05
tGCA_017164755.1_ASM1716475v1_genomic.fna             1        0          68.37      329     8.15e-06
tGCA_017164775.1_ASM1716477v1_genomic.fna             1        0          68.37      329     4.11e-06
tGCA_017164795.1_ASM1716479v1_genomic.fna             1        0          68.37      394     9.83e-05
tGCA_017164815.1_ASM1716481v1_genomic.fna             1        0          68.37      359     2.43e-07
tGCA_017164835.1_ASM1716483v1_genomic.fna             1        0          68.37      359     2.41e-07
tGCA_017164855.1_ASM1716485v1_genomic.fna             1        0          68.37      358     1.53e-06
tGCA_017164875.1_ASM1716487v1_genomic.fna             1        0          68.37      357     2.81e-06
tGCA_017164895.1_ASM1716489v1_genomic.fna             1        0          68.37      355     4.23e-06
tGCA_017164915.1_ASM1716491v1_genomic.fna             1        0          68.37      355     1.35e-06
tGCA_017164935.1_ASM1716493v1_genomic.fna             1        0          68.37      346     2.46e-06
tGCA_017164955.1_ASM1716495v1_genomic.fna             1        0          68.37      346     4.33e-06
tGCA_017164975.1_ASM1716497v1_genomic.fna             1        0          68.37      366     2.17e-06
tGCA_017164995.1_ASM1716499v1_genomic.fna             1        0          68.37      366     2.44e-06
tGCA_017165015.1_ASM1716501v1_genomic.fna             1        0          68.37      350     8.27e-06
tGCA_017165035.1_ASM1716503v1_genomic.fna             1        0          68.37      339     7.8e-06
tGCA_017165055.1_ASM1716505v1_genomic.fna             1        0          68.37      363     2.35e-06
tGCA_017165075.1_ASM1716507v1_genomic.fna             1        0          68.37      364     9.96e-07
tGCA_017165095.1_ASM1716509v1_genomic.fna             1        0          68.37      344     6.58e-06
tGCA_017165115.1_ASM1716511v1_genomic.fna             1        0          68.37      362     7.14e-06
tGCA_017165135.1_ASM1716513v1_genomic.fna             1        0          68.37      364     1.67e-06
tGCA_017165155.1_ASM1716515v1_genomic.fna             1        0          68.37      351     4.52e-06
tGCA_017165215.1_ASM1716521v1_genomic.fna             1        0          68.37      343     2.84e-06
tGCA_017165235.1_ASM1716523v1_genomic.fna             1        0          68.37      343     4.44e-06
tGCA_017165255.1_ASM1716525v1_genomic.fna             1        0          68.37      360     8.94e-06
tGCA_017165275.1_ASM1716527v1_genomic.fna             1        0          68.37      365     2.3e-05
tGCA_017165295.1_ASM1716529v1_genomic.fna             1        0          68.37      341     2.64e-05
tGCA_017165315.1_ASM1716531v1_genomic.fna             1        0          68.37      353     1.4e-05
tGCA_017165335.1_ASM1716533v1_genomic.fna             1        0          68.37      347     9.82e-06
tGCA_017165355.1_ASM1716535v1_genomic.fna             1        0          68.37      352     2.37e-05
tGCA_017165375.1_ASM1716537v1_genomic.fna             1        0          68.37      339     7.73e-06
tGCA_017165395.1_ASM1716539v1_genomic.fna             1        0          68.37      347     1.72e-05
tGCA_017165415.1_ASM1716541v1_genomic.fna             1        0          68.37      349     1.15e-05
tGCA_017165435.1_ASM1716543v1_genomic.fna             1        0          68.37      351     6.88e-06
tGCA_017165455.1_ASM1716545v1_genomic.fna             1        0          68.37      344     2.74e-05
tGCA_017357545.1_ASM1735754v1_genomic.fna             1        0          68.37      416     9.2e-06
tGCA_020423145.1_ASM2042314v1_genomic.fna             1        0          68.37      367     9.66e-05
tGCA_020423165.1_ASM2042316v1_genomic.fna             1        0          68.37      382     3.14e-05
tGCA_020423185.1_ASM2042318v1_genomic.fna             1        0          68.37      368     6.45e-05
tGCA_020423205.1_ASM2042320v1_genomic.fna             1        0          68.37      373     6.87e-05
tGCA_020423225.1_ASM2042322v1_genomic.fna             1        0          68.37      384     2.85e-05
tGCA_021166395.1_ASM2116639v1_genomic.fna             1        0          68.37      447     7.3e-07
tGCA_021166415.1_ASM2116641v1_genomic.fna             1        0          68.37      447     9.74e-07
tGCA_021166435.1_ASM2116643v1_genomic.fna             1        0          68.37      385     5.83e-05
tGCA_021184105.1_ASM2118410v1_genomic.fna             1        0          68.37      446     2.69e-06
tGCA_021184125.1_ASM2118412v1_genomic.fna             1        0          68.37      387     7.28e-06
tGCA_022558925.1_ASM2255892v1_genomic.fna             1        0          68.37      99      0.0032
tGCA_022869945.1_ASM2286994v1_genomic.fna             1        0          68.37      414     2.08e-06
tGCA_025252345.1_ASM2525234v1_genomic.fna             1        0          68.37      418     2.35e-05
tGCA_025252445.1_ASM2525244v1_genomic.fna             1        0          68.37      434     1.41e-05
tGCA_029590495.1_ASM2959049v1_genomic.fna             1        0          68.37      425     1.43e-05
tGCA_029962285.1_ASM2996228v1_genomic.fna             1        0          68.37      425     2.13e-05
tGCA_030908645.1_ASM3090864v1_genomic.fna             1        0          68.37      417     0.00011
tGCA_030908665.1_ASM3090866v1_genomic.fna             1        0          68.37      442     3.66e-06
tGCA_030908685.1_ASM3090868v1_genomic.fna             1        0          68.37      443     6.41e-07
tGCA_030908705.1_ASM3090870v1_genomic.fna             1        0          68.37      441     0
tGCA_030908725.1_ASM3090872v1_genomic.fna             1        0          68.37      443     5.76e-07
tGCA_030908745.1_ASM3090874v1_genomic.fna             1        0          68.37      420     2.46e-05
368                                                   1        1          68.15      367     3.15e-05
392                                                   2        2          68.15      391     2.97e-05
402                                                   1        1          68.15      398     2.44e-05
99                                                    1        1          68.15      98      0.00018
98                                                    1        2          67.93      97      0.000472
nGCA_000005845.2_ASM584v2_genomic.fna                 0        1          67.93      224     0
nGCA_000007445.1_ASM744v1_genomic.fna                 0        1          67.93      63      1.48e-05
nGCA_000009565.2_ASM956v1_genomic.fna                 0        1          67.93      254     0
nGCA_000010245.1_ASM1024v1_genomic.fna                0        1          67.93      227     1.44e-05
nGCA_000010385.1_ASM1038v1_genomic.fna                0        1          67.93      139     0.00305
nGCA_000010485.1_ASM1048v1_genomic.fna                0        1          67.93      14      0.00055
nGCA_000010745.1_ASM1074v1_genomic.fna                0        1          67.93      149     0.000297
nGCA_000010765.1_ASM1076v1_genomic.fna                0        1          67.93      105     0.000109
nGCA_000013265.1_ASM1326v1_genomic.fna                0        1          67.93      50      2.75e-05
nGCA_000013305.1_ASM1330v1_genomic.fna                0        1          67.93      34      0.00452
nGCA_000014845.1_ASM1484v1_genomic.fna                0        1          67.93      51      0.000476
nGCA_000017745.1_ASM1774v1_genomic.fna                0        1          67.93      113     0.00337
nGCA_000017765.1_ASM1776v1_genomic.fna                0        1          67.93      260     0.00205
nGCA_000017985.1_ASM1798v1_genomic.fna                0        1          67.93      251     6.99e-05
nGCA_000019385.1_ASM1938v1_genomic.fna                0        1          67.93      259     4.11e-06
nGCA_000019425.1_ASM1942v1_genomic.fna                0        1          67.93      170     1.72e-05
nGCA_000019645.1_ASM1964v1_genomic.fna                0        1          67.93      5       0.00612
nGCA_000022345.1_ASM2234v1_genomic.fna                0        1          67.93      210     5.98e-06
nGCA_000022665.2_ASM2266v1_genomic.fna                0        1          67.93      253     0
nGCA_000023365.1_ASM2336v1_genomic.fna                0        1          67.93      229     0
nGCA_000023665.1_ASM2366v1_genomic.fna                0        1          67.93      249     0.000214
nGCA_000025165.1_ASM2516v1_genomic.fna                0        1          67.93      295     0.000337
nGCA_000025745.1_ASM2574v1_genomic.fna                0        1          67.93      45      0.000125
nGCA_000026245.1_ASM2624v1_genomic.fna                0        1          67.93      118     0.00017
nGCA_000026265.1_ASM2626v1_genomic.fna                0        1          67.93      129     0.00107
nGCA_000026285.2_ASM2628v2_genomic.fna                0        1          67.93      37      0.000286
nGCA_000026345.1_ASM2634v1_genomic.fna                0        1          67.93      4       0.000113
nGCA_000026545.1_ASM2654v1_genomic.fna                0        1          67.93      11      0.000136
nGCA_000027125.1_ASM2712v1_genomic.fna                0        1          67.93      81      0.00662
nGCA_000091005.1_ASM9100v1_genomic.fna                0        1          67.93      110     0.000106
nGCA_000148365.1_ASM14836v1_genomic.fna               0        1          67.93      67      9.07e-05
nGCA_000148605.1_ASM14860v1_genomic.fna               0        1          67.93      50      6.52e-05
nGCA_000167875.2_ASM16787v2_genomic.fna               0        1          67.93      101     0.000542
nGCA_000183345.1_ASM18334v1_genomic.fna               0        1          67.93      75      9.56e-05
nGCA_000184185.1_ASM18418v1_genomic.fna               0        1          67.93      152     1.3e-05
nGCA_000210475.1_ASM21047v1_genomic.fna               0        1          67.93      236     0.000756
nGCA_000212715.2_ASM21271v2_genomic.fna               0        1          67.93      158     0.00147
nGCA_000219515.3_ASM21951v3_genomic.fna               0        1          67.93      79      0.00648
nGCA_000220005.2_ASM22000v2_genomic.fna               0        1          67.93      166     0.000542
nGCA_000227625.1_ASM22762v1_genomic.fna               0        1          67.93      4       0.000279
nGCA_000233875.1_ASM23387v1_genomic.fna               0        1          67.93      65      3.33e-07
nGCA_000233895.1_ASM23389v1_genomic.fna               0        1          67.93      65      1.17e-06
nGCA_000245515.1_ASM24551v1_genomic.fna               0        1          67.93      298     8.94e-05
nGCA_000257275.1_ASM25727v1_genomic.fna               0        1          67.93      159     0.00284
nGCA_000258025.1_ASM25802v1_genomic.fna               0        1          67.93      153     0.000127
nGCA_000258145.1_ASM25814v1_genomic.fna               0        1          67.93      152     1.71e-05
nGCA_000262125.1_ASM26212v1_genomic.fna               0        1          67.93      412     2.82e-05
nGCA_000269645.2_PB_Esch_coli_MG12655_V1_genomic.fna  0        1          67.93      223     0
nGCA_000270105.1_ASM27010v1_genomic.fna               0        1          67.93      228     2.22e-05
nGCA_000273425.1_Esch_coli_MG12655_V1_genomic.fna     0        1          67.93      222     0
nGCA_000284495.1_ASM28449v1_genomic.fna               0        1          67.93      76      0
nGCA_000285655.3_EC958.v1_genomic.fna                 0        1          67.93      19      0.000202
nGCA_000299255.1_ASM29925v1_genomic.fna               0        1          67.93      121     1.31e-05
nGCA_000299455.1_ASM29945v1_genomic.fna               0        1          67.93      125     2.16e-05
nGCA_000299475.1_ASM29947v1_genomic.fna               0        1          67.93      123     1.67e-06
nGCA_000332755.1_ASM33275v1_genomic.fna               0        1          67.93      92      5.7e-05
nGCA_000464955.2_ASM46495v2_genomic.fna               0        1          67.93      138     0.00293
nGCA_000468515.1_ASM46851v1_genomic.fna               0        1          67.93      153     5.13e-05
nGCA_000474035.1_ASM47403v1_genomic.fna               0        1          67.93      174     0
nGCA_000493595.1_EcoPMV1_genomic.fna                  0        1          67.93      44      0.000244
nGCA_000493755.1_ASM49375v1_genomic.fna               0        1          67.93      21      9.39e-05
nGCA_000499485.1_MYMC4100_genomic.fna                 0        1          67.93      170     1.63e-05
nGCA_000520035.1_ASM52003v1_genomic.fna               0        1          67.93      275     7.11e-06
nGCA_000520055.1_ASM52005v1_genomic.fna               0        1          67.93      273     1.45e-06
nGCA_000618005.3_ASM61800v3_genomic.fna               0        1          67.93      165     0.000902
nGCA_000618905.3_ASM61890v3_genomic.fna               0        1          67.93      101     0.000512
nGCA_000662395.1_ASM66239v1_genomic.fna               0        1          67.93      273     2.39e-06
nGCA_000671295.1_ASM67129v1_genomic.fna               0        1          67.93      275     5.17e-06
nGCA_000714595.1_ASM71459v1_genomic.fna               0        1          67.93      58      0
nGCA_000725265.1_ASM72526v1_genomic.fna               0        1          67.93      115     0.00306
nGCA_000725305.1_ASM72530v1_genomic.fna               0        1          67.93      209     7.25e-06
nGCA_000743255.1_ASM74325v1_genomic.fna               0        1          67.93      57      0
nGCA_000750555.1_ASM75055v1_genomic.fna               0        1          67.93      217     0
nGCA_000800215.1_ASM80021v1_genomic.fna               0        1          67.93      233     4.54e-07
nGCA_000800765.1_ASM80076v1_genomic.fna               0        1          67.93      233     1.53e-06
nGCA_000800845.2_ASM80084v2_genomic.fna               0        1          67.93      46      5.74e-05
nGCA_000801205.1_ASM80120v1_genomic.fna               0        1          67.93      180     1.68e-06
nGCA_000813165.1_ASM81316v1_genomic.fna               0        1          67.93      39      0.000307
nGCA_000826905.1_ASM82690v1_genomic.fna               0        1          67.93      175     7.1e-06
nGCA_000826925.1_ASM82692v1_genomic.fna               0        1          67.93      175     1.94e-06
nGCA_000827105.1_ASM82710v1_genomic.fna               0        1          67.93      270     0.00611
nGCA_000829985.1_ASM82998v1_genomic.fna               0        1          67.93      244     0.000985
nGCA_000831565.1_ASM83156v1_genomic.fna               0        1          67.93      127     0.00308
nGCA_000968515.1_ASM96851v1_genomic.fna               0        1          67.93      167     0.00171
nGCA_000974405.1_ASM97440v1_genomic.fna               0        1          67.93      215     0
nGCA_000974465.1_ASM97446v1_genomic.fna               0        1          67.93      215     1.11e-06
nGCA_000974505.1_ASM97450v1_genomic.fna               0        1          67.93      214     3.48e-07
nGCA_000974535.1_ASM97453v1_genomic.fna               0        1          67.93      213     1.28e-06
nGCA_000974575.1_ASM97457v1_genomic.fna               0        1          67.93      208     2.26e-05
nGCA_000974825.1_ASM97482v1_genomic.fna               0        1          67.93      213     4.34e-07
nGCA_000974865.1_ASM97486v1_genomic.fna               0        1          67.93      212     4.76e-07
nGCA_000974885.1_ASM97488v1_genomic.fna               0        1          67.93      209     0
nGCA_000981485.1_EcoliK12AG100_genomic.fna            0        1          67.93      183     3.76e-05
nGCA_000986765.1_ASM98676v1_genomic.fna               0        1          67.93      126     0
nGCA_001020945.2_ASM102094v2_genomic.fna              0        1          67.93      203     9.81e-06
nGCA_001021005.2_ASM102100v2_genomic.fna              0        1          67.93      203     2.71e-06
nGCA_001021615.1_APECO18_genomic.fna                  0        1          67.93      43      0.000216
nGCA_001021635.2_ASM102163v2_genomic.fna              0        1          67.93      8       0.00102
nGCA_001029125.1_ASM102912v1_genomic.fna              0        1          67.93      261     0.00116
nGCA_001051135.1_ASM105113v1_genomic.fna              0        1          67.93      92      0.000142
nGCA_001308065.1_ASM130806v1_genomic.fna              0        1          67.93      181     8.31e-07
nGCA_001544635.1_ASM154463v1_genomic.fna              0        1          67.93      225     0
nGCA_001559615.2_ASM155961v2_genomic.fna              0        1          67.93      248     4.28e-05
